feature,gain
distance_to_sl_art,21157.00863647461
slope20V,3310.8221794206183
rsiV,3131.0416484270245
type,3010.8842323720455
atrV,2587.915841668844
volume,2246.748161904514
zScore50V,1909.1723749935627
distPriceToCloud,1675.4252169653773
priceStd20V,1576.4812936075032
slope10V,1475.3696554601192
slope5V,1424.6877104025334
priceStd10V,1364.277365819551
priceStd5V,1117.596427402459
tp,1010.984768435359
distKijunToCloud,890.5870770523325
price,482.10406702011824
tenkan,383.1141073182225
spanA,304.8348283395171
kijun,284.83661802113056
spanB,279.4196141138673
sl,143.21938863396645
volatility_regime,25.071599066257477
lagging,0.0
