feature,gain
priceStd20V,4.828212261199951
priceStd10V,4.792105197906494
spanB,4.57982063293457
slope5V,4.578498363494873
spanA,4.575730800628662
prix_vs_ema200,4.552967071533203
kijun,4.466527462005615
zScore50V,4.426448822021484
tenkan,4.370910167694092
slope10V,4.361115455627441
atrV,4.271780014038086
hour_of_day,4.242098808288574
volatility_regime,4.191560745239258
rsiV,4.183280944824219
slope20V,4.123210430145264
sl_size_in_atr,4.038441181182861
rsi_vs_ema_rsi,4.0287184715271
distPriceToCloud,4.010711193084717
type,3.873713731765747
distance_to_sl_art,3.8604347705841064
distKijunToCloud,3.817835807800293
priceStd5V,3.7745797634124756
volume,3.687727689743042
