feature,gain
slope10V,4.7640252113342285
kijun,4.76206111907959
type,4.622489929199219
slope20V,4.610404014587402
spanA,4.575396537780762
atrV,4.5581955909729
spanB,4.557236671447754
prix_vs_ema200,4.496997833251953
distance_to_sl_art,4.462375640869141
distKijunToCloud,4.448921203613281
rsiV,4.394895076751709
zScore50V,4.387345790863037
priceStd20V,4.245023727416992
tenkan,4.224339962005615
priceStd10V,4.218016624450684
slope5V,4.165971279144287
sl_size_in_atr,4.141880035400391
hour_of_day,4.100070953369141
volume,4.076723098754883
priceStd5V,4.009190082550049
rsi_vs_ema_rsi,4.006225109100342
volatility_regime,3.9967832565307617
distPriceToCloud,3.9826152324676514
